Station,transmission_rate,log_transmission_rate,ground_lit,sat_lit,elevation_class
431 - PE0SAT-11,0.4092071611253197,-0.8935337447515389,False,True,High
2173 - PE0SAT-21,0.8184143222506394,-0.20038656419159356,False,True,High
1466 - PE0SAT-12,2.4055555555555554,0.8777808771122795,False,True,High
1696 - PE0SAT-31,0.2611111111111111,-1.3428092491801518,False,True,High
2968 - UX5UL,0.16666666666666666,-1.791759469228055,False,True,Low
3523 - IK1JNS-UHF,0.023465703971119134,-3.752215329285747,False,True,Low
2968 - UX5UL,1.6689189189189189,0.5121760628638621,False,True,Medium
766 - Dunchurch,0.20202020202020202,-1.599387576580599,False,True,High
2968 - UX5UL,0.22525597269624573,-1.4905178669906418,True,True,Low
3538 - PU4ELT,0.25691699604743085,-1.359002218831883,False,False,Medium
2012 - SP7THR-UHF,0.29250457038391225,-1.2292749871881543,False,True,High
2012 - SP7THR-UHF,0.8232044198895028,-0.1945507253203666,True,True,High
2012 - SP7THR-UHF,0.22018348623853212,-1.513294051881198,False,True,High
2968 - UX5UL,0.8698224852071006,-0.13946612814433718,True,True,Low
2968 - UX5UL,1.7882960413080895,0.5812632342473162,True,True,Medium
1710 - EU1AEM,0.38345864661654133,-0.9585234954974281,False,True,Low
2029 - EU1AEM,1.9821428571428572,0.6841785105771849,True,True,Low
2029 - EU1AEM,2.117857142857143,0.7504047958284759,True,True,Medium
1466 - PE0SAT-12,5.4222222222222225,1.690505735522882,False,True,High
2968 - UX5UL,0.3418803418803419,-1.0732944806838198,False,True,Low
2968 - UX5UL,1.9276094276094276,0.656280596625695,False,True,Medium
91 - M0EYT / 2E0NOG,0.2676923076923077,-1.3179170636751538,True,True,High
2173 - PE0SAT-21,0.10256410256410256,-2.277267285009756,True,True,Low
2729 - YL3GBC,0.020689655172413793,-3.8781214537524646,True,True,Low
2729 - YL3GBC,0.08392857142857142,-2.4777891820191362,False,True,Low
2729 - YL3GBC,0.3130081300813008,-1.161526114078679,False,True,Medium
2729 - YL3GBC,0.08394698085419734,-2.477569859724146,True,True,Low
2729 - YL3GBC,0.10869565217391304,-2.2192034840549946,True,True,High
2729 - YL3GBC,0.030508474576271188,-3.4897507790036,True,True,Low
2729 - YL3GBC,0.0175054704595186,-4.045241849214369,True,True,Low
2729 - YL3GBC,0.06818181818181818,-2.6855773452501515,True,True,Low
2729 - YL3GBC,0.0015313935681470138,-6.481577129276431,True,True,Low
1864 - SA2KNG Omni UHF/VHF,5.605555555555555,1.7237581694633985,True,True,High
2968 - UX5UL,2.01027397260274,0.6982710175598148,True,True,Medium
431 - PE0SAT-11,0.376,-0.9781661355922425,True,True,Medium
2173 - PE0SAT-21,0.25066666666666665,-1.383631243700407,True,True,Medium
1936 - VK4JBE-UHF,0.603125,-0.5056308068888866,False,False,High
2029 - EU1AEM,0.024475524475524476,-3.7100816617645394,True,True,Low
431 - PE0SAT-11,1.7171717171717171,0.5406785869156718,False,True,High
2173 - PE0SAT-21,0.9924242424242424,-0.007604599385219304,False,True,High
1466 - PE0SAT-12,3.3333333333333335,1.2039728043259361,False,True,High
2968 - UX5UL,0.020100502512562814,-3.907010463604602,False,True,High
71 - PV8DX,0.023060796645702306,-3.769621218089971,False,False,High
2012 - SP7THR-UHF,0.0865561694290976,-2.4469617182238768,True,True,High
2968 - UX5UL,0.036734693877551024,-3.3040336332085074,True,True,Low
1864 - SA2KNG Omni UHF/VHF,4.455555555555556,1.494151756976304,True,True,High
2968 - UX5UL,0.09863945578231292,-2.3162839373522077,True,True,Medium
1710 - EU1AEM,0.04285714285714286,-3.1498829533812494,True,True,Low
2968 - UX5UL,0.0639269406392694,-2.750014400201242,False,True,Low
3122 - Lovets,0.022670025188916875,-3.786711703350971,False,True,High
2968 - UX5UL,0.07365439093484419,-2.608371518911815,True,True,Low
3538 - PU4ELT,0.018957345971563982,-3.965563772356176,False,False,Medium
71 - PV8DX,0.06553911205073996,-2.725108184006787,False,False,Medium
71 - PV8DX,0.006396588486140725,-5.05199047977817,True,True,High
1710 - EU1AEM,0.10422535211267606,-2.261199876831191,False,True,Low
2968 - UX5UL,0.04028436018957346,-3.211791969979796,False,True,Low
2968 - UX5UL,0.013333333333333334,-4.31748811353631,False,True,High
71 - PV8DX,0.006423982869379015,-5.0477169690007875,False,False,Medium
2173 - PE0SAT-21,0.020618556701030927,-3.8815637979434374,True,True,High
71 - PV8DX,0.13978494623655913,-1.9676501356917193,True,True,Medium
2029 - EU1AEM,0.05305039787798409,-2.9365129138940196,True,True,Low
431 - PE0SAT-11,0.07537688442211055,-2.585254623622282,False,True,High
1466 - PE0SAT-12,0.14444444444444443,-1.9348603128687285,False,True,High
1696 - PE0SAT-31,0.022222222222222223,-3.8066624897703196,False,True,High
2968 - UX5UL,0.0033277870216306157,-5.705447753975262,False,True,High
1864 - SA2KNG Omni UHF/VHF,0.1,-2.3025850929940455,True,True,Medium
431 - PE0SAT-11,0.010256410256410256,-4.579852378003801,True,True,High
2173 - PE0SAT-21,0.007692307692307693,-4.867534450455582,True,True,High
2968 - UX5UL,0.0067226890756302525,-5.002267044425739,True,True,High
71 - PV8DX,0.030434782608695653,-3.492169159867882,True,True,Medium
1710 - EU1AEM,0.04980842911877394,-2.9995710498611565,True,True,Low
2968 - UX5UL,0.0316622691292876,-3.452629555294426,False,True,Low
2968 - UX5UL,0.0016666666666666668,-6.396929655216146,False,True,High
71 - PV8DX,0.0022222222222222222,-6.1092475827643655,False,False,Medium
2968 - UX5UL,0.015765765765765764,-4.149914413376911,True,True,Low
2968 - UX5UL,0.048109965635738834,-3.034265937556234,True,True,Low
71 - PV8DX,0.019867549668874173,-3.9186675481468147,True,True,Medium
1710 - EU1AEM,0.12040133779264214,-2.1169246349345765,False,True,Medium
431 - PE0SAT-11,0.03526448362720403,-3.344878951071932,False,True,High
2968 - UX5UL,0.011666666666666667,-4.451019506160833,False,True,High
812 - PF_DE_UHF_X_DIPOLE,0.05115089514066496,-2.972975286431375,False,True,High
2029 - EU1AEM,0.08064516129032258,-2.517696472610991,True,True,Low
2968 - UX5UL,0.03343465045592705,-3.398162477967001,False,True,Low
2968 - UX5UL,0.11833333333333333,-2.134249778174831,False,True,High
2968 - UX5UL,0.01201923076923077,-4.421247347827163,True,True,Low
2968 - UX5UL,0.03511705685618729,-3.349068316227209,True,True,High
1710 - EU1AEM,0.16580310880829016,-1.796954286105159,False,True,Medium
2968 - UX5UL,0.008347245409015025,-4.785823685681349,False,True,High
2968 - UX5UL,1.1337792642140467,0.12555653398976374,True,True,High
431 - PE0SAT-11,0.04810126582278481,-3.0344467857346813,True,True,High
2173 - PE0SAT-21,0.030379746835443037,-3.4939791151131216,True,True,High
2968 - UX5UL,0.9973333333333333,-0.0026702285558789208,True,True,Low
2012 - SP7THR-UHF,0.1676300578034682,-1.785995764511305,True,True,Medium
1710 - EU1AEM,0.6269035532994924,-0.46696257266995655,False,True,Medium
1710 - EU1AEM,2.925806451612903,1.0735701526359447,True,True,High
2029 - EU1AEM,2.175548589341693,0.77728085772196,True,True,Low
2029 - EU1AEM,0.6377777777777778,-0.44976536700474434,True,True,Low
2968 - UX5UL,0.15384615384615385,-1.8718021769015913,False,True,Low
2968 - UX5UL,1.5628140703517588,0.4464880874547417,False,True,High
3523 - IK1JNS-UHF,0.020833333333333332,-3.871201010907891,False,True,High
2968 - UX5UL,0.17429193899782136,-1.7470235753866634,True,True,Low
2968 - UX5UL,0.24479166666666666,-1.407347770317723,True,True,Low
1864 - SA2KNG Omni UHF/VHF,2.25,0.8109302162163288,True,True,High
431 - PE0SAT-11,1.2455696202531645,0.21959295159118622,True,True,High
2173 - PE0SAT-21,1.2151898734177216,0.19490033900081477,True,True,High
1466 - PE0SAT-12,2.522222222222222,0.9251403471511376,True,True,High
2968 - UX5UL,2.0618729096989967,0.7236147492137126,True,True,High
2968 - UX5UL,0.12562814070351758,-2.0744289998562917,True,True,Low
1710 - EU1AEM,3.4166666666666665,1.2286654169163074,True,True,High
2029 - EU1AEM,2.0745341614906834,0.7297366279922375,True,True,Low
3695 - MLB-CC,0.11615487316421896,-2.1528308648626355,True,True,High
2968 - UX5UL,0.06046511627906977,-2.805688670666126,False,True,Low
1861 - LW2DYB,0.2919254658385093,-1.2312567632744045,False,False,High
2968 - UX5UL,1.2046979865771812,0.1862289019828744,False,True,High
2015 - Drachten,0.14435146443514643,-1.9355042278941967,False,True,Medium
,0.2359081419624217,-1.4443127786985746,False,True,High
2968 - UX5UL,0.2526539278131635,-1.3757346009048883,True,True,Low
3426 - G4TNX,1.5096418732782368,0.4118724526831647,True,True,Medium
2968 - UX5UL,2.5192629815745393,0.923966391117183,True,True,High
2015 - Drachten,0.3305785123966942,-1.1069110914828049,True,True,High
2968 - UX5UL,0.7517899761336515,-0.28529828109650474,True,True,Low
1936 - VK4JBE-UHF,0.2332155477031802,-1.455792155616812,False,False,Medium
1710 - EU1AEM,2.9950738916256157,1.0969689029243797,False,True,Medium
2029 - EU1AEM,2.7678018575851393,1.0180534519508575,True,True,Low
1861 - LW2DYB,0.76,-0.2744368457017603,False,False,High
2968 - UX5UL,1.7567567567567568,0.5634693572514127,False,True,Medium
1864 - SA2KNG Omni UHF/VHF,2.25,0.8109302162163288,True,True,High
2968 - UX5UL,0.3305785123966942,-1.1069110914828049,True,True,Low
431 - PE0SAT-11,1.6265984654731458,0.48649100335475637,True,True,High
2173 - PE0SAT-21,1.211734693877551,0.1920529642441787,True,True,High
2968 - UX5UL,0.3884057971014493,-0.9457046170804484,True,True,Low
1864 - SA2KNG Omni UHF/VHF,4.772222222222222,1.562812071094045,True,True,High
2968 - UX5UL,3.1865546218487393,1.1589402772693373,True,True,High
2968 - UX5UL,1.0365296803652968,0.03587828766490185,True,True,Low
1861 - LW2DYB,0.17028985507246377,-1.7702532640070914,True,True,Medium
1936 - VK4JBE-UHF,0.599250936329588,-0.5120748431664226,False,False,Medium
2968 - UX5UL,2.044142614601019,0.7149784422171798,False,True,Medium
1864 - SA2KNG Omni UHF/VHF,3.8333333333333335,1.3437347467010947,True,True,High
2968 - UX5UL,1.0343434343434343,0.033766862470817484,True,True,Low
